mode,impact_category,unit,result_per_pkm,source_file
auto_benzin,Impact category UUID,Impact category,,auto_benzin.xlsx
auto_benzin,b5c611c6-def3-11e6-bf01-fe55135034f3,Acidification,,auto_benzin.xlsx
auto_benzin,6209b35f-9447-40b5-b68c-a1099e3674a0,Climate change,,auto_benzin.xlsx
auto_benzin,706261af-a357-4cc0-a50a-f3033fcbd556,Climate change (biogenic),,auto_benzin.xlsx
auto_benzin,7fce5b3a-66b8-4ce1-91e8-a925aee1f186,Climate change (fossil),,auto_benzin.xlsx
auto_benzin,14af9ca7-aa1d-4832-b1d9-ab05a06dcb12,Climate change (land use),,auto_benzin.xlsx
auto_benzin,05316e7a-b254-4bea-9cf0-6bf33eb5c630,Ecotoxicity freshwater,,auto_benzin.xlsx
auto_benzin,dacd48b5-4da5-49aa-aff4-cd5f5495c037,Ecotoxicity freshwater (inorganics),,auto_benzin.xlsx
auto_benzin,fd530f00-9325-424a-92ef-aaac67922fd9,Ecotoxicity freshwater (organics),,auto_benzin.xlsx
auto_benzin,b53ec18f-7377-4ad3-86eb-cc3f4f276b2b,Eutrophication freshwater,,auto_benzin.xlsx
auto_benzin,b5c619fa-def3-11e6-bf01-fe55135034f3,Eutrophication marine,,auto_benzin.xlsx
auto_benzin,b5c614d2-def3-11e6-bf01-fe55135034f3,Eutrophication terrestrial,,auto_benzin.xlsx
auto_benzin,2299222a-bbd8-474f-9d4f-4dd1f18aea7c,Human toxicity cancer,,auto_benzin.xlsx
auto_benzin,01500b74-7ffb-463e-9bd4-72f17c2263ff,Human toxicity cancer (inorganics),,auto_benzin.xlsx
auto_benzin,503699e0-eca9-4089-8bf8-e0f49c93e578,Human toxicity cancer (organics),,auto_benzin.xlsx
auto_benzin,7cfdcfcf-b222-4b26-888a-a55f9fbf7ac8,Human toxicity non-cancer,,auto_benzin.xlsx
auto_benzin,9d1d43a2-e1aa-4c16-acd4-3dd8a6a2fb85,Human toxicity non-cancer (inorganics),,auto_benzin.xlsx
auto_benzin,8c3141e9-1f15-43b5-bff2-182e49893a46,Human toxicity non-cancer (organics),,auto_benzin.xlsx
auto_benzin,b5c632be-def3-11e6-bf01-fe55135034f3,Ionising radiation (human health),,auto_benzin.xlsx
auto_benzin,b2ad6890-c78d-11e6-9d9d-cec0c932ce01,Land use,,auto_benzin.xlsx
auto_benzin,b5c629d6-def3-11e6-bf01-fe55135034f3,Ozone depletion,,auto_benzin.xlsx
auto_benzin,b5c602c6-def3-11e6-bf01-fe55135034f3,Particulate matter,,auto_benzin.xlsx
auto_benzin,b5c610fe-def3-11e6-bf01-fe55135034f3,Photochemical ozone formation (human health),,auto_benzin.xlsx
auto_benzin,b2ad6110-c78d-11e6-9d9d-cec0c932ce01,Resource use fossils,,auto_benzin.xlsx
auto_benzin,b2ad6494-c78d-11e6-9d9d-cec0c932ce01,Resource use minerals and metals,,auto_benzin.xlsx
auto_benzin,b2ad66ce-c78d-11e6-9d9d-cec0c932ce01,Water use,,auto_benzin.xlsx
auto_benzin_hybrid,Impact category UUID,Impact category,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,b5c611c6-def3-11e6-bf01-fe55135034f3,Acidification,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,6209b35f-9447-40b5-b68c-a1099e3674a0,Climate change,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,706261af-a357-4cc0-a50a-f3033fcbd556,Climate change (biogenic),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,7fce5b3a-66b8-4ce1-91e8-a925aee1f186,Climate change (fossil),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,14af9ca7-aa1d-4832-b1d9-ab05a06dcb12,Climate change (land use),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,05316e7a-b254-4bea-9cf0-6bf33eb5c630,Ecotoxicity freshwater,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,dacd48b5-4da5-49aa-aff4-cd5f5495c037,Ecotoxicity freshwater (inorganics),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,fd530f00-9325-424a-92ef-aaac67922fd9,Ecotoxicity freshwater (organics),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,b53ec18f-7377-4ad3-86eb-cc3f4f276b2b,Eutrophication freshwater,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,b5c619fa-def3-11e6-bf01-fe55135034f3,Eutrophication marine,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,b5c614d2-def3-11e6-bf01-fe55135034f3,Eutrophication terrestrial,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,2299222a-bbd8-474f-9d4f-4dd1f18aea7c,Human toxicity cancer,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,01500b74-7ffb-463e-9bd4-72f17c2263ff,Human toxicity cancer (inorganics),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,503699e0-eca9-4089-8bf8-e0f49c93e578,Human toxicity cancer (organics),,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,7cfdcfcf-b222-4b26-888a-a55f9fbf7ac8,Human toxicity non-cancer,,auto_benzin_hybrid_conv.xlsx
auto_benzin_hybrid,9d1d43a2-e1aa-4c16-acd4-3dd8a6a2fb85,Human toxicity non-cancer (inorganics),,auto_benzin_hybrid_conv.xlsx
