district_id,district_name,trips_per_day,km_per_trip,homeoffice_pct,auto_besetzung,split_fuss,split_rad,split_opnv,split_auto,opnv_share_ubahn,opnv_share_sbahn,opnv_share_bus,opnv_share_tram,auto_share_benzin,auto_share_diesel,auto_share_phev,auto_share_elektro,household_size,population,car_per_household
1,Altstadt-Lehel,3.4,5.2,20,1.5,43,24,17,16,34.77,22.97,8.44,33.82,65,26,3,4,1.6,20860,0.6
2,Ludwigsvorstadt-Isarvorstadt,3.5,4.5,17,1.4,40,26,23,11,29.21,22.51,20.79,27.49,62,27,3,6,1.6,49876,0.5
3,Maxvorstadt,3.4,4.5,18,1.4,42,24,23,12,31.58,14.6,17.11,36.71,65,26,3,4,1.5,51945,0.5
4,Schwabing-West,3.3,5.2,17,1.4,36,27,21,17,25.18,11.64,13.01,50.17,63,31,2,2,1.6,68254,0.6
5,Au-Haidhausen,3.5,5.1,15,1.5,42,20,25,13,17.06,15.77,16.19,50.98,65,27,3,3,1.7,63583,0.5
6,Sendling,3.2,5.7,16,1.5,36,27,22,15,40.16,30.95,28.89,0.0,72,22,1,3,1.7,40790,0.6
7,Sendling-Westpark,3.1,5.8,15,1.4,33,21,22,24,30.77,14.23,47.34,7.66,64,26,2,4,1.8,62065,0.7
8,Schwanthalerhöhe,3.5,4.8,16,1.5,37,26,23,15,33.32,23.12,21.43,22.14,68,27,2,2,1.7,28732,0.6
9,Neuhausen-Nymphenburg,3.3,6.0,15,1.5,34,22,22,22,15.32,7.08,19.93,57.66,65,26,2,3,1.7,100396,0.7
10,Moosach,2.9,5.8,16,1.4,33,21,22,24,32.11,17.32,29.25,21.33,64,28,2,3,1.9,55851,0.8
11,Milbertshofen-Am Hart,3.0,5.5,15,1.5,34,21,22,24,43.31,20.03,36.66,0.0,63,30,2,3,1.8,76971,0.7
12,Schwabing-Freimann,3.1,6.1,16,1.5,34,21,22,23,37.43,17.31,30.75,14.5,57,30,5,5,1.8,76986,0.7
13,Bogenhausen,3.0,5.6,18,1.4,33,21,22,24,16.5,11.44,37.13,34.93,63,28,3,3,1.8,94337,0.8
14,Berg am Laim,3.1,6.2,16,1.3,34,21,22,24,20.89,14.49,31.66,32.96,68,25,2,3,1.8,47037,0.7
15,Trudering-Riem,3.1,7.0,18,1.4,33,21,22,24,23.13,16.05,60.82,0.0,57,30,4,6,2.1,75728,1.0
16,Ramersdorf-Perlach,2.9,6.1,17,1.4,33,21,22,24,33.88,20.14,43.57,2.41,64,28,3,3,1.9,120085,0.8
17,Obergiesing-Fasangarten,3.2,5.8,16,1.5,33,21,27,21,26.6,16.4,26.07,30.93,62,30,3,2,1.7,53795,0.6
18,Untergiesing-Harlaching,3.2,6.0,17,1.4,31,24,22,22,34.06,15.75,21.9,28.28,63,27,2,5,1.7,53909,0.7
19,Thalkirchen-Obersendling-Forstenried-,3.1,6.5,15,1.4,33,21,22,24,35.61,18.82,45.56,0.0,65,27,3,3,1.9,101992,0.8
20,Hadern,3.0,6.4,13,1.5,33,21,22,24,35.09,16.23,44.32,4.37,63,28,3,5,1.9,51446,0.8
21,Pasing-Obermenzing,3.0,7.0,16,1.4,33,21,22,24,0.0,3.84,79.63,16.53,64,27,3,4,1.9,81246,0.9
22,Aubing-Lochhausen-Langwied,2.9,7.7,13,1.5,33,21,22,24,8.96,20.71,70.34,0.0,65,27,4,3,2.1,57502,0.9
23,Allach-Untermenzing,2.8,8.3,17,1.5,33,21,22,24,0.0,7.99,92.01,0.0,66,23,4,3,2.1,35918,1.0
24,Feldmoching-Hasenbergl,3.0,6.7,14,1.4,33,21,22,24,23.19,16.09,60.72,0.0,64,24,4,6,2.0,63006,0.9
25,Laim,3.1,5.9,15,1.5,33,21,22,22,21.4,13.2,18.02,47.38,64,28,2,4,1.7,56716,0.6
